gene,log2FC,pvalue,neglog10p
TTLL10,0.030885345240163134,1.8622918831826717e-17,9.999999919121699
TNFRSF18,-0.006521287623733756,0.000683675758484859,3.1651497553521484
TNFRSF4,-0.0044524659385859165,0.0040320688380520945,2.3944720511757076
SDF4,0.14638836547453027,2.4098068291483547e-57,10.0
B3GALT6,0.009015339250426978,0.0002664291285734602,3.5744181326854596
C1QTNF12,0.003040219228804543,0.039114083171432557,1.4076668439894444
AL162741.1,0.001266720596418931,0.16509786248289957,0.7822585492354563
UBE2J2,0.1799145059879838,1.8371094475658877e-72,10.0
LINC01786,0.02269453528164496,8.458712357359434e-11,9.733798597762863
SCNN1D,0.024177421895590193,7.899817150633583e-10,9.05061891597156
ACAP3,0.0429520664265093,4.0170456776523574e-11,9.853343511411824
PUSL1,0.01534740284853692,9.962488134173903e-09,7.997294618749873
INTS11,0.2542676342372692,2.379058342456768e-126,10.0
AL139287.1,0.0020265348748724553,0.032342193215580226,1.4902305313512632
CPTP,0.022334539558108005,1.1648458679830446e-13,9.999494408278347
TAS1R3,-0.0024269948397826545,0.01824846417143567,1.7387736784132533
DVL1,0.04267018088507964,5.3330900617033634e-18,9.999999976838685
MXRA8,-0.00031754913496459536,0.8907700210620997,0.05023440755959729
AURKAIP1,0.07870240121768292,2.1922877172195629e-38,10.0
CCNL2,0.7330461399495205,0.0,10.0
MRPL20-AS1,0.0569148939536194,5.96379249793315e-31,10.0
MRPL20,0.25953968791074794,4.312174581534551e-130,10.0
AL391244.2,0.005721378228142596,0.0010125023937803627,2.9946038984503636
ANKRD65,0.04170068095048382,9.220775412748086e-17,9.999999599546996
AL391244.1,0.003293447894289476,0.023310236288270364,1.6324533222923423
TMEM88B,0.007346453503035023,0.00014998879950312943,3.8239408813638307
LINC01770,0.06127187894788838,8.88396698531444e-28,10.0
VWA1,0.19021668914564022,1.2221967815853616e-92,10.0
ATAD3C,0.11612256878660968,2.0780092180929844e-63,10.0
ATAD3B,0.16362799663707173,5.88802550055835e-67,10.0
ATAD3A,0.06279112265879927,7.94899486310574e-30,10.0
TMEM240,0.00937215454491576,6.1480848934707e-08,7.210554328340949
SSU72,0.20288318710821152,1.1466345653202772e-94,10.0
AL645728.1,0.011905467455754897,1.3023609305198806e-08,7.881946707204149
FNDC10,0.0035462917137782306,0.0017202369335794251,2.7644117069977034
AL691432.4,0.0032937044582869272,0.041730941801049075,1.379541812800593
AL691432.2,0.04521690956170961,3.5662732777794817e-32,10.0
MIB2,0.12889842463595078,2.4690132641633224e-49,10.0
MMP23B,0.005067267231671902,0.012033551680929554,1.9196061689033799
CDK11B,0.160813059342267,2.713831963623651e-64,10.0
FO704657.1,0.0074941071685358535,8.685035741161078e-06,5.061223389516647
SLC35E2B,0.33453414615701804,3.068842724319317e-151,10.0
CDK11A,0.14012862963548406,4.1858612016059586e-58,10.0
SLC35E2A,0.16595088138451936,2.80696940416588e-80,10.0
NADK,0.1834143002463373,2.635382146279941e-83,10.0
GNB1,0.5939140384258144,2.6400002818947553e-281,10.0
AL109917.1,0.0027862850123266175,0.002264150800929653,2.645094631698822
CALML6,0.005467508152664035,5.1316076170693106e-05,4.28974571258235
TMEM52,0.001519820979905138,0.03381160078401725,1.4709342661275935
CFAP74,0.0007598784194528875,0.08326450676424414,1.0795400857228503
AL391845.1,0.0007599425604522506,0.1795738702332344,0.7457568569541697
PRKCZ,0.3935053910634336,3.0659586170252353e-167,10.0
AL590822.2,0.0010132353669365464,0.10234677057594604,0.9899258559789323
PRKCZ-AS1,0.003546227572778868,0.0009542524453623358,3.02033667294518
FAAP20,0.13828333173834495,1.5435179097556352e-63,10.0
AL590822.1,0.04615400252038029,7.542308647304135e-20,9.999999999672442
SKI,0.5201225982266853,3.301207212951521e-201,10.0
AL590822.3,0.0030397702418090023,0.007209973335655797,2.1420663353872778
MORN1,0.2847306199143953,6.062902805388816e-151,10.0
AL589739.1,0.0025331204878410473,0.012324245369703108,1.9092396601541999
AL513477.2,-0.000253100383486207,0.654864453864604,0.18384858243116273
RER1,0.18442458119307606,4.065091719909941e-73,10.0
PEX10,0.11816879526531955,1.2411399251076288e-65,10.0
PLCH2,0.001267105442415109,0.31631163475033885,0.49988483319218807
PANK4,0.02218971899573855,1.8494505398325147e-08,7.730615369100379
AL139246.5,0.003546997264771223,0.030259080307973765,1.5191442745881507
TNFRSF14-AS1,0.11507747686268784,8.468284595848647e-41,10.0
TNFRSF14,0.16788875329991135,5.436992501788475e-57,10.0
AL139246.3,-0.0010129146619397315,0.04548657581301866,1.3421167542681067
PRXL2B,0.011381056069799982,1.546711555502801e-05,4.810587861990854
MMEL1,0.02233553919317783,2.0001272130505855e-11,9.920814149982954
TTC34,0.08607179845425268,4.127653629843595e-55,10.0
AC242022.2,0.0010132353669365464,0.1023467705759459,0.9899258559789329
AC242022.1,1.9242299808880023e-07,0.999752457466479,0.00010751962129853093
PRDM16-DT,0.027043987037620138,1.6793194230283583e-12,9.992767369336548
PRDM16,0.9085650141804426,0.0,10.0
AL008733.1,0.0010131712259371835,0.04548657234186341,1.3421167874098325
AL590438.1,0.0002534210884830218,0.654471897667561,0.18410899679313375
AL354743.2,0.004201338204319394,0.004685076809598446,2.329283275397323
AL354743.1,0.0022797635403573884,0.012480098346138911,1.9037819888165544
ARHGEF16,0.07613870268128874,4.983498554419527e-32,10.0
AL512413.1,0.0005066497539679547,0.31716494389601185,0.4987148209459914
MEGF6,0.12939349414629395,1.0627239970201087e-39,10.0
AL513320.1,0.04792013853915136,1.3116230986247414e-25,10.0
TPRG1L,0.024344018351986497,9.311857794514338e-11,9.714175945221307
WRAP73,0.11846482026818461,6.8118344027353605e-56,10.0
TP73,0.05315818504914276,8.113281930700218e-21,9.999999999964764
AL136528.1,0.0005067780359666805,0.4791326659474235,0.31954421903848457
AL136528.2,0.00025329280648429586,0.31737180895174844,0.49843165261899913
CCDC27,0.0012664640324214793,0.025328755274128856,1.596386150415858
SMIM1,0.005172302482741126,0.009513821673149138,2.0216449886805554
LRRC47,0.11448447831368314,4.742346908825302e-53,10.0
AL365330.1,0.002786220871327254,0.0009056456067225298,3.0430416673434513
CEP104,0.2817741024927136,5.316287473598646e-133,10.0
DFFB,0.05181345649551845,1.395418715041128e-21,9.999999999993939
C1orf174,0.04222210433038867,3.360334691605156e-24,9.999999999999986
LINC01134,0.009818231829467058,0.00011735456153009597,3.93049965479492
AJAP1,-0.00014780856841953272,0.8633651745366575,0.06380547336351515
AL365255.1,0.017779718689113915,2.7139023250662875e-10,9.430169522309361
NPHP4,0.17157890236806556,1.03278610474003e-74,10.0
KCNAB2,-0.026492500940246716,0.0006551709566886691,3.1836452965315876
CHD5,0.002026342451874367,0.00466464569964041,2.3311813279307265
RPL22,0.22648332320794062,1.2847102575344587e-156,10.0
AL031847.1,0.0012664640324214793,0.025328755274128856,1.596386150415858
RNF207,0.16980590589329506,1.411673021986056e-88,10.0
ICMT,0.04135581707795996,3.233258725173967e-27,10.0
LINC00337,0.0005065856129685917,0.15732549492643716,0.8032008930658616
GPR153,0.00793918481801732,0.0001213548812619903,3.915942392465994
